idItem,name,tags,price,rating,numRatings,address,phone
37,Alfalfa,Tapas Bars,€€,4.5,102,"Calle Candilejo, 1 41004 Seville Spain",+34954222344
38,Pelayo,"Spanish, Tapas Bars",€€,4.0,38,"Calle Placentines, 25 41004 Seville Spain",+34954227000
39,Filo,Sandwiches,empty,5.0,21,"Calle Hernando Colón, 19 41004 Seville Spain",+34955186892
40,San Marco,Italian,€€,4.0,62,"Calle Mesón del Moro, 6 41004 Seville Spain",+34954564390
41,Al Medina,"Moroccan, Arabic",€€,4.5,41,"Calle San Roque, 13 41001 Seville Spain",+34954215451
42,Hard Rock Cafe,"Bars, American (Traditional)",€€€,4.5,20,"Calle San Fernando, 3 41004 Seville Spain",+34954220126
43,Virgin Coffee,"Coffee & Tea, Cafeteria",€,4.5,41,"Calle Regina, 1 Local 6 41003 Seville Spain",+34675942995
44,HOB - House of Burger,"Burgers, American (Traditional)",€€,4.5,59,"Calle Correduría, 38 41002 Seville Spain",+34955443934
45,Gusto,"Spanish, Mediterranean, Breakfast & Brunch",€€,4.0,62,"Calle Alemanes, 23 41004 Seville Spain",+34954500923
46,La Sacristía,Tapas Bars,€,4.0,35,"Calle Mateos Gago, 18 41004 Seville Spain",+34954219207
47,Bodeguita Antonio Romero II,"Spanish, Tapas Bars",€€,4.5,24,"Calle Gamazo, 16 41001 Seville Spain",+34954210585
48,Burguett,"Burgers, Tapas/Small Plates",€€,4.0,62,"Calle Albareda, 24 41001 Seville Spain",+34954564244
49,Habanita,"Mediterranean, Vegan, Gluten-Free",€€,4.0,45,"Calle Callejon Golfo, 3 41004 Seville Spain",+34954220202
50,Bodega Santa Cruz Las Columnas,"Tapas Bars, Wine Bars",€,4.0,164,"Calle de Rodrigo Caro, 1 41004 Seville Spain",+34954218618
51,Arte y Sabor,"Tapas Bars, Mediterranean",€€,4.0,66,"Alameda de Hércules, 85 41002 Seville Spain",+34954372897
52,Tradevo Centro,Tapas Bars,€€,4.5,14,"Calle Cuesta del Rosario, 15 41004 Seville Spain",+34854807424
53,La Carbonería,"Spanish, Tapas Bars",€€,4.0,105,"Calle Céspedes, 21 41004 Seville Spain",+34954229945
54,Torres y García,"Signature Cuisine, Spanish",€€,4.0,36,"Calle Harinas, 2-4 41001 Seville Spain",+34955546385
55,Bodeguita Romero,"Spanish, Tapas Bars",€,4.5,75,"Calle Harinas, 10 41001 Seville Spain",+34954229556
56,Fez,"Moroccan, Halal, Arabic",€€,4.5,19,"Calle San Esteban, 27 41003 Seville Spain",+34954537779
57,Al Aljibe,"Spanish, Tapas/Small Plates",€€,4.0,45,"Alameda de Hércules, 76 41002 Seville Spain",+34954900591
58,La Catedral,"Spanish, Tapas Bars",€€,4.0,28,"Calle Mateos Gago, 5 41004 Seville Spain",+34954212174
59,Bar Patanchón,"Tapas Bars, Spanish, Mediterranean",€€,4.0,27,"Calle Mateos Gago, 13 41004 Seville Spain",+34954224708
60,El 3 de Oro,"Seafood, Spanish",€€,3.5,33,"Calle Santa María la Blanca, 34 41004 Seville Spain",+34954422759
61,La Bodega de Alfalfa,"Tapas Bars, Pubs",€,4.0,43,"Calle Alfalfa, 4 41004 Seville Spain",+34954227362
62,Mega,"Spanish, Burgers, Tapas Bars",€,4.0,99,"Calle Macasta, 27 41003 Seville Spain",+34955281695
63,Giralda,"Spanish, Tapas Bars",€,4.0,37,"Calle Mateos Gago, 1 41004 Seville Spain",+34954228250
64,Trattoría Filomena,"Mediterranean, Burgers, American (Traditional)",€,4.0,27,"Calle Padre Méndez Casariego, 24 41003 Seville Spain",+34954538864
65,Tanto Monta,"Halal, Barbeque",€€,4.5,16,"Calle Reyes Catolicos, 11 41001 Seville Spain",+34854704478
66,Génova,"Tapas Bars, Spanish",€,3.5,63,"Avenida de la Constitución, 10 41001 Seville Spain",+34954227436
67,Sal Gorda,"Tapas Bars, Bars, Spanish",€€,4.5,62,"Calle Alcaiceria de la Loza, 13 41004 Seville Spain",+34955385972
68,Becerrita,"Spanish, Mediterranean",€€€,4.0,24,"Calle Recaredo, 9 41003 Seville Spain",+34954412057
69,Cristina Bistró,"Spanish, Andalusian",€€,5.0,20,"Calle San Fernando, 19 41004 Seville Spain",+34606416458
70,Catalina,"Spanish, Tapas Bars, Mediterranean",€€,4.0,19,"Plaza del Padre Jerónimo de Córdoba, 12 41003 Seville Spain",+34954563687
71,La Chunga,Spanish,€€,4.0,47,"Calle Arjona, 13 41001 Seville Spain",+34600341399
72,Restaurante Alcázar,"Halal, Moroccan, Arabic",€,4.5,14,"Calle Tomás de Ibarra, 6 41001 Seville Spain",+34622405350
73,Al Solito Posto,"Italian, Gluten-Free",€€,4.0,41,"Alameda de Hércules, 16 41002 Seville Spain",+34954908985
74,Casa Paco,"Spanish, Tapas Bars",€€,4.5,28,"Calle de Luis Huidrobo, 23 41007 Seville Spain",+34954584725
75,La Jerónima,"Cafeteria, Bookstores, Beer Bar",€,4.5,21,"Calle Jerónimo Hernández, 14-16 41003 Seville Spain",
76,Taberna Coloniales,Tapas Bars,€,4.0,70,"Calle de Fernández y González, 38 41001 Seville Spain",+34954229381
77,Oriza,"Spanish, Tapas Bars",€€,4.0,24,"Calle San Fernando, 41 41004 Seville Spain",+34954227254
78,Abantal,"Spanish, Mediterranean",€€,4.0,21,"Calle Alcalde Jose de la Bandera, 7 41003 Seville Spain",+34954540000
79,Panrallao,"Tapas Bars, Modern European",€,4.5,67,"Calle Divino Redentor, 5 41005 Seville Spain",+34954026796
80,Pepe Hillo,"Tapas Bars, Spanish",€€,4.0,28,"Calle Adriano, 24 41001 Seville Spain",+34954564145
81,El Viajero Sedentario,"Cafeteria, Bookstores",€,4.5,23,"Alameda de Hércules, 77 41002 Seville Spain",+34677535512
82,La Paella Sevilla,"Arroceria / Paella, Food Delivery Services, Tapas Bars",empty,5.0,11,"Calle San Eloy, 2 41001 Seville Spain",+34954008067
83,Uno de Delicias,"Tapas Bars, Spanish, Mediterranean",€€,4.0,29,"Paseo de las Delicias, 1 41001 Seville Spain",+34954500500
84,Zelai,"Tapas Bars, Modern European",€€,4.0,26,"Calle Albareda, 22 41001 Seville Spain",+34954229992
85,La Mafia Se Sienta a la Mesa,Italian,€€,4.5,16,"Plaza del Duque de la Victoria, 11 41002 Seville Spain",+34954564729
86,You Sushi,"Japanese, Sushi Bars",€,4.0,19,"Calle Santa María La Blanca, 23 41004 Seville Spain",+34954522282
87,Mr. Cake,"Desserts, Cafeteria",€,5.0,15,"Calle Santa Bárbara, 12 41002 Seville Spain",+34693705445
88,Fridays,"American (Traditional), Burgers",€€,4.0,44,"Calle Luis de Morales, 3 41005 Seville Spain",+34636591275
89,Fargo,"Vegetarian, Vegan",€€,4.5,32,"Calle Pérez Galdós, 20 41004 Seville Spain",+34955276552
90,Postiguillo,"Spanish, Tapas/Small Plates, Tapas Bars",€€,4.0,29,"Calle Dos de Mayo, 4 41001 Seville Spain",+34954565162
91,Velouté,"Tapas Bars, Spanish",€€,4.0,19,"Avenida de la Buhaira, 23 41018 Seville Spain",+34954047979
92,Milk Away,"Juice Bars & Smoothies, Salad, Delis",empty,5.0,11,"Calle Pérez Galdós, 32 41004 Seville Spain",+34600213747
93,Enrique Becerra,"Spanish, Tapas Bars",€€,4.0,25,"Calle Gamazo, 2 41001 Seville Spain",+34954213049
94,Az-Zait,"Spanish, Signature Cuisine",€€€,4.0,30,"Plaza San Lorenzo, 1 41002 Seville Spain",+34954906475
95,Plato Plató,"Spanish, Tapas Bars",€€,4.5,35,"Calle Progreso, 27 41013 Seville Spain",+34955384450
96,Malambos,"Steakhouses, Argentine",€€,4.5,13,"Calle Doctor Pedro Vallina, 11 41008 Seville Spain",+34954532770
97,Torch Coffee Roasters,"Cafeteria, Coffee & Tea, Bakeries",€,4.5,70,"Avenida Paseo de las Delicias, 3 41001 Seville Spain",
98,ConTenedor,"Spanish, Modern European",€€,4.5,101,"Calle San Luis, 50 41003 Seville Spain",+34954916333
99,Antojo,Tapas Bars,€€,4.0,78,"Calle Calatrava, 44 41002 Seville Spain",+34955425337
100,Las Teresas,"Spanish, Bars",€€,3.5,39,"Calle Sta. Teresa, 2 41004 Seville Spain",+34954213069
101,Modesto,"Spanish, Seafood, Tapas Bars",€€,3.5,27,"Calle Cano y Cueto, 5 41004 Seville Spain",+34954416811
102,Maccheroni,Italian,€€€,4.0,23,"Calle García de Vinuesa, 26 41001 Seville Spain",+34954501015
103,Taberna Álvaro Peregil,"Spanish, Tabernas",€,4.0,34,"Calle Mateos Gago, 20 41004 Seville Spain",+34954218966
104,Cinco Jotas,Tapas Bars,empty,4.0,15,"Calle Castelar, 1 41001 Seville Spain",+34954210763
105,Cocome,"Salad, Juice Bars & Smoothies",empty,5.0,13,"Calle Tarifa, 4 41002 Seville Spain",+34955111566
106,Casa Ricardo,Tapas Bars,€€,4.0,30,"Calle Hernán Cortés, 2 41002 Seville Spain",+34954389751
107,Taberna Águilas,"Tapas Bars, Spanish, Beer Bar",€,4.5,19,"Calle Águilas, 10 41004 Seville Spain",+34630046324
108,El Cairo,Arroceria / Paella,€€,4.0,25,"Calle Reyes Católicos, 13 41001 Seville Spain",+34954213089
109,Carmela,"Tapas Bars, Spanish",€,4.0,35,"Calle Santa María la Blanca, 6 41004 Seville Spain",+34954537945
110,Casa Tomate,"Tapas/Small Plates, Andalusian, Tapas Bars",€€,3.5,26,"Calle Mateos Gagos, 24 41004 Seville Spain",+34954220421
111,Dúo Tapas,"Tapas Bars, Tapas/Small Plates, Spanish",€,4.0,89,"Calle Calatrava, 10 41002 Seville Spain",+34955238572
112,Tablao El Arenal,"Tablao Flamenco, Tapas Bars",€€€,4.0,30,"Calle Rodo, 7 41001 Seville Spain",+34954216492
113,Taj Mahal,"Indian, Halal, Vegan",€€,4.0,33,"Calle Juan Antonio Cavestany, 12 41003 Seville Spain",+34954420952
114,Bodeguita Antonio Romero,"Tapas/Small Plates, Spanish",€€,4.0,26,"Calle Antonia Díaz, 19 41001 Seville Spain",+34954223939
115,Nazca,"Japanese, Peruvian, Asian Fusion",€€,4.5,62,"Calle Baños, 32 41002 Seville Spain",+34955226728
116,No Lugar,"Mediterranean, Tapas Bars",€€,4.5,47,"Calle de Trajano, 16 41002 Seville Spain",+34656656074
117,La Quinta,Brasseries,€€€,4.5,9,"Plaza Padre Jeronimo de Cordoba, 11 41003 Seville Spain",+34954600016
118,Casa Morales,Tapas Bars,€,4.0,45,"Calle García de Vinuesa, 11 41001 Seville Spain",+34954221242
119,Europa,"Tapas Bars, Spanish, Tapas/Small Plates",€€,3.5,26,"Calle Siete Revueltas, 35 41004 Seville Spain",+34954217908
120,Yebra,"Spanish, Tapas Bars",€€,4.5,39,"Calle Medalla Milagrosa, 3 41009 Seville Spain",+34954351007
121,Casa La Viuda,"Spanish, Tapas Bars",€,4.5,13,"Calle Albareda, 2 41001 Seville Spain",+34954215420
122,Taberna del Alabardero,Spanish,€€,4.0,21,"Calle Zaragoza, 20 41001 Seville Spain",+34954502721
123,Artefacto,"Bars, Cafeteria, Tapas Bars",€,4.5,14,"Calle Peral, 1 41002 Seville Spain",+34669656526
124,Raíces,"Signature Cuisine, Peruvian, Cocktail Bars",€€,4.5,29,"Calle Juan de Zoyas, 5 41018 Seville Spain",+34695855623
125,Robles Laredo,Cafeteria,€€,4.0,17,"Calle Sierpes, 90 41004 Seville Spain",+34954293232
126,Casa Robles,"Tapas Bars, Spanish",€€€,3.5,45,"Calle Alvarez Quintero, 58 41004 Seville Spain",+34954213150
127,Mesones del Serranito,Spanish,€€,3.5,27,"Calle Antonia Díaz, 11 41001 Seville Spain",+34954211243
128,La Azotea,"Cheese Shops, Wine Bars, Gastropubs",€€,4.0,27,"Calle Conde de Barajas, 12 41002 Seville Spain",+34955116748
129,La Monumental,"Tapas Bars, Spanish",€€,4.0,15,"Calle Diego Angulo Íñiguez, 9 41018 Seville Spain",+34954423385
130,Orsini & Angelo,Italian,€€,4.0,23,"Calle Luchana, 4 41004 Seville Spain",+34954216164
131,Depikofino,"Signature Cuisine, Tapas Bars, Gastropubs",€€,4.0,10,"Calle Eduardo Dato, 29 41710 Seville Spain",+34954532957
132,El Baratillo,"Spanish, Tapas Bars, Andalusian",€€,3.5,31,"Calle Adriano, 20 41001 Seville Spain",+34954219143
133,Abades Triana Restaurante,"Spanish, Andalusian",€€€,3.5,29,"Calle Betis, 69 41010 Seville Spain",+34954286459
134,Takumi,"Japanese, Sushi Bars",€€,4.5,24,"Plaza de la Encarnación, s/n 41003 Seville Spain",+34955135160
135,La Pulchra,Spanish,€,4.0,43,"Calle José Luis de Casso, 32 41005 Seville Spain",+34954574954
136,Ajoblanco,Tapas Bars,€€,4.5,11,"Calle Alhóndiga, 19 41003 Seville Spain",+34954229320
137,Corral del Agua,"Spanish, Tapas/Small Plates",€€,4.0,10,"Calle del Agua, 6 41004 Seville Spain",+34954224841
138,Casa Cuesta,"Spanish, Tapas Bars",€€,4.0,36,"Calle Castilla, 1 41010 Seville Spain",+34954333335
139,Quilombo,Tapas Bars,€,4.5,14,"Calle Peris Mencheta, 6 41002 Seville Spain",+34666647487
140,Victoria 8,"Spanish, Tapas Bars",€€,4.5,12,"Calle Victoria, 8 41010 Seville Spain",+34954343230
141,Mizüshi,"Japanese, Sushi Bars, Vegan",€,4.0,15,"Calle José Luis Luque, 8 41003 Seville Spain",+34954560391
142,Freskura,"Gluten-Free, Ice Cream & Frozen Yogurt",€,4.5,35,"Calle Vulcano, 4 41002 Seville Spain",+34954373089
143,Milonga's,"Argentine, Steakhouses",€€,5.0,5,Calle Luis de Morales 32 41018 Seville Spain,+34954410667
144,El Gallinero de Sandra,"Spanish, Mediterranean",€€€,4.0,13,"Calle Esperanza Elena Caro, 2 41002 Seville Spain",+34954909931
145,Tata Pila,"Tapas Bars, French",€€,4.0,15,"Calle Julio César, 14 41001 Seville Spain",+34954870862
146,Taberna El Panduro,Tapas Bars,€€,4.5,28,"Calle Baños, 3 41002 Seville Spain",+34954870732
147,Umami,Tapas/Small Plates,empty,4.5,10,"Calle Hernando Colón, 10 41004 Seville Spain",+34954502118
148,TGB Campana,"Burgers, Fast Food",€,4.0,26,"Calle Martín Villa, 4 41003 Seville Spain",+34954871980
149,Tommy Mel's,"American (Traditional), Burgers",€€,3.5,28,"Calle Rico Cejudo, s/n 41005 Seville Spain",+34954981261
150,Sushi Chaki,"Japanese, Sushi Bars",€€,4.0,33,"Calle Virgen de las Aguas Santas, 8 41011 Seville Spain",+34954279995
151,Flores Gourmet,"Tapas Bars, Delicatessen",€€,4.0,20,"Calle San Pablo, 24 41001 Seville Spain",+34954216160
152,Doña Elvira,"Salad, Arroceria / Paella, Tapas Bars",€€,3.5,29,"Plaza Doña Elvira, 6 41004 Seville Spain",+34954215483
153,Peko Peko,"Gastropubs, Tapas Bars",empty,4.0,22,"Calle Santa María la Blanca, 20 41004 Seville Spain",+34692174965
154,la Escaloná,"Breakfast & Brunch, Tapas Bars",empty,4.0,17,"Plaza de la Alfalfa, 12 41004 Seville Spain",+34955648266
155,Mercado Lonja del Barranco,Food Court,€€,3.5,49,"Calle Arjona, s/n 41001 Seville Spain",+34954220495
156,Freiduría Puerta de la Carne,"Fish & Chips, Tapas Bars, Vegan",€€,4.0,12,"Puerta de la Carne, 2 41004 Seville Spain",+34954411159
157,Zarabanda,Mediterranean,€€,4.0,23,"Calle Padre Tarin, 6 41002 Seville Spain",+34954903080
158,La Sra Pop,"Breakfast & Brunch, Pubs, Coffee & Tea",€,4.0,30,"Calle Amor de Dios, 55 41002 Seville Spain",+34675871586
159,Ciudad Dong Hai,Chinese,€,4.0,13,"Calle Aponte, 4 41002 Seville Spain",+34954381358
160,Zarandaja,Tapas Bars,€€,4.5,21,"Avenida de la Buhaira, 14 41018 Seville Spain",+34955715744
161,Gallo Rojo,"Cafeteria, Art Galleries, Bars",€,4.5,11,"Calle Viriato, 9 41002 Seville Spain",
162,Universal People Bar,Tapas Bars,empty,4.5,8,"Calle Blanca de los Ríos, 1 41004 Seville Spain",+34954224770
163,Mirador San Fernando,Spanish,€€,4.5,17,"Calle San Fernando, 23 41004 Seville Spain",+34651800601
164,Ostrería & Sushi de Mercado,"Seafood, Sushi Bars, Japanese",€€,4.0,21,"Mercado de Triana Calle Puesto, 61 41010 Seville Spain",+34954338285
165,Las Golondrinas,"Tapas/Small Plates, Tapas Bars",€,4.0,55,"Calle Antillano Campos, 26 41010 Seville Spain",+34954331626
166,La Corona,"Tapas Bars, Mediterranean, Bars",€,4.5,37,"Calle Faustino Álvarez, 1 41002 Seville Spain",+34669842708
167,Bodega Góngora,Tapas/Small Plates,€€,3.5,18,"Calle Albareda, 5 41001 Seville Spain",+34954221119
168,El Paladar,"Mediterranean, Tapas Bars",€,4.0,24,"Calle Lumbreras, 14 41002 Seville Spain",+34661613651
169,El Nómada,"Italian, Pizza",€€,4.0,25,"Calle San Luis, 2 41003 Seville Spain",+34954221961
170,Ostia Antica Ristorante,"Italian, Mediterranean, Pizza",€€,4.5,12,"Calle Alvarez Quintero, 45 41004 Seville Spain",+34954560000
171,Mateos Bar,"Tapas Bars, Spanish",empty,4.0,13,"Calle Mateos Gago, 2 41004 Seville Spain",+34954218806
172,Dúplex,Tapas Bars,€,3.5,24,"Calle Don Remondo, 1 41004 Seville Spain",+34954212741
173,Coreano Moon,Korean,€,4.0,27,"Avenida de Menéndez Pelayo, 18 41004 Seville Spain",+34664417518
174,Bodeguita Fabiola,"Spanish, Pubs, Tapas Bars",€,4.5,11,"Calle Fabiola, 7 41004 Seville Spain",+34655491390
175,Blanca Paloma,Tapas Bars,€€,4.5,36,"Calle San Jacinto, 49 41010 Seville Spain",+34954333640
176,Antigüedades Bar,"Spanish, Tapas Bars",€,3.0,22,"Calle Argote de Molina, 40 41004 Seville Spain",+34954565127
177,Cupcakes & Go,"Desserts, Bakeries, Cafeteria",€€,4.0,16,"Puerta del Osario, 13 41003 Seville Spain",+34954418696
178,Vega 10,"Signature Cuisine, Tapas Bars",€€,4.5,32,"Calle Rosario Vega, 10 41010 Seville Spain",+34955237748
179,Puratasca,Spanish,€€,4.0,37,"Calle Numancia, 5 41010 Seville Spain",+34954331621
180,La Créme de la Créme,"Desserts, Cafeteria, Ice Cream & Frozen Yogurt",€,3.5,22,"Calle Regina, 1 41003 Seville Spain",+34955671341
181,Bodega Mateo Ruiz,Tapas Bars,€,5.0,13,"Calle Palacios Malaver, 33 41003 Seville Spain",+34954387754
182,Santa Marta,"Spanish, Tapas Bars",€,4.0,30,"Calle Angostillo, 2 41003 Seville Spain",+34954210194
183,La Taberna,"Tapas Bars, Tabernas",€,4.0,35,"Calle Gamazo, 6 41001 Seville Spain",+34954221128
184,Tijuana,Mexican,€,4.0,43,"Calle Asunción, 67 41011 Seville Spain",+34954458526
185,El Arepazo,Latin American,€,4.5,39,"Calle Otoño, 1 41009 Seville Spain",+34955211587
186,Tradevo,"Seafood, Tabernas",€€,4.0,15,"Plaza Pintor Amalio García del Moral, 2 41005 Seville Spain",+34854521554
187,Cachet,"Pubs, Cafeteria, Gastropubs",€€,4.0,28,"Avenida la Buhaira, 10 41018 Seville Spain",+34954420975
188,Iguanas Ranas,"Mexican, Latin American",€€,3.5,26,"Calle Santo Tomás, 7 41004 Seville Spain",+34954044552
189,Rafael Ruíz,"Spanish, Tapas Bars, Breakfast & Brunch",€,4.0,10,"Calle Amador de los Ríos, 46 41003 Seville Spain",+34954415760
190,YAN Sushi Bar,"Sushi Bars, Japanese",€€,4.0,10,"Plaza Padre Jeronimo de Cordoba, 2 41003 Seville Spain",+34954043460
191,Gigante Bar,"Desserts, Tapas Bars, Cocktail Bars",€,4.0,27,"Alameda de Hércules, 17 41002 Seville Spain",+34955294529
192,Almazen,Cafeteria,empty,4.5,10,"Calle San Esteban, 15 41003 Seville Spain",+34955359764
193,Las Golondrinas,"Spanish, Tapas Bars",€,4.0,28,"Calle Pagés del Corro, 76 41010 Seville Spain",+34954338235
194,Milonga's,"Argentine, Spanish",€€€,4.0,12,"Calle Campo de los Mártires, 1 41018 Seville Spain",+34954411177
195,Tribeca,"Spanish, Tapas Bars",€€€€,4.5,7,"Calle Chaves Nogales, 3 41018 Seville Spain",+34954426000
196,Montolivo Italian Grill,"Steakhouses, Italian",€€,4.0,27,"Calle Santo Domingo de la Calzada, 13 41018 Seville Spain",+34954531710
197,Messala Gastrobar,"Tapas Bars, Mediterranean",€€,4.0,13,"Calle Albareda, 22 41001 Seville Spain",+34954226852
198,Burro,"Spanish, Bars",empty,5.0,7,"Calle Luis Montoto, 112 41018 Seville Spain",+34954869595
199,VIPS,"Burgers, American (Traditional)",€€,3.5,14,"Calle Enramadilla, 1A 41018 Seville Spain",+34638579932
200,Organic's,"Breakfast & Brunch, Vegan",€,4.5,8,"Calle José de Velilla, 3 41001 Seville Spain",+34954914085
201,No Kitchen,"Spanish, Tapas Bars, Gastropubs",€,3.5,12,"Calle Amparo, 9 41003 Seville Spain",+34697149507
202,Belmonte,Tapas Bars,€€,3.5,17,"Calle Mateos Gago, 24 41004 Seville Spain",+34954214014
203,Antigua Abacería de San Lorenzo,Tapas Bars,€€,4.0,16,"Calle Teodosio, 53 41002 Seville Spain",+34954380067
204,Bartolomea,"Mediterranean, Tapas Bars",€€,4.5,21,"Calle Pastor y Landero, 10 41001 Seville Spain",+34955234370
205,La Comidilla,"Spanish, Tapas Bars, Wine Bars",€€,4.5,39,"Calle Callao, 1 41010 Seville Spain",+34695158383
206,La Malvaloca,Tapas Bars,empty,4.5,15,"Pl. de la Encarnación, 20 41003 Seville Spain",+34955628181
207,Lar Gallego,"Spanish, Seafood, Tapas Bars",€€,4.5,5,"Calle Gonzalo Bilbao, 20 41003 Seville Spain",+34954422355
208,Aladdín,"Middle Eastern, Arabic, Kebab",€,4.5,15,"Calle Juan Antonio Cavestany, 6 41003 Seville Spain",+34954539395
209,Wilson Bar,Latin American,€€,4.0,14,"Plaza de la Caña, 49 41007 Seville Spain",+34954440422
210,Chips Bar & Burger,"American (Traditional), Burgers, Hot Dogs",€€,4.5,8,"Calle Santo Domingo de la Calzada, 11 41018 Seville Spain",+34955527916
211,Kaede,"Japanese, Sushi Bars",€€,3.0,22,"Calle Santa María la Blanca, 32 41004 Seville Spain",+34954220988
212,Sidonia,Tapas/Small Plates,€,4.0,30,"Calle de Calatrava, 16 41002 Seville Spain",+34954903532
213,Las Escobas,"Spanish, Mediterranean",€€,3.5,25,"Calle Álvarez Quintero, 62 41004 Seville Spain",+34954560416
214,Casa Moreno,Spanish,€€,4.5,14,"Calle Gamazo, 7 41001 Seville Spain",+34954228315
215,Bodega La Mina,"Tapas Bars, Sandwiches, Tapas/Small Plates",€,4.0,17,"Cuesta del Rosario, 7D 41004 Seville Spain",+34954214092
216,Sloppy Joe's,"Burgers, Pizza, American (Traditional)",€,4.0,30,"Calle Camilo José Cela, 5 41018 Seville Spain",+34954923424
217,Levíes,"Tapas Bars, Tapas/Small Plates",€,3.0,48,"Calle San José, 15 41004 Seville Spain",+34954215308
